id,name,park,land,type,status,latitude,longitude,,
gone-hollywood,Gone Hollywood,californiaadventure,Hollywood Land,Gift Shop,operating,33.8077224625005,-117.9182788711,,
studio-store,Studio Store,californiaadventure,Hollywood Land,Gift Shop,operating,33.8080500288917,-117.917657144111,,
web-suppliers,WEB Suppliers,californiaadventure,Avengers Campus,Gift Shop,operating,33.806583694847,-117.91847561931,,
collectors-warehouse,The Collector's Warehouse,californiaadventure,Avengers Campus,Gift Shop,operating,33.8068851386952,-117.91683536507,,
avengers-vault,Avengers Vault,californiaadventure,Avengers Campus,Boutique,operating,33.8064233509953,-117.917640698489,,
campus-supply-pod,Campus Supply Pod,californiaadventure,Avengers Campus,Cart/Kiosk,operating,33.8066542460901,-117.917993192078,,
san-fransokyo-makers-market,San Fransokyo Maker's Market,californiaadventure,San Fransokyo Square,Gift Shop,operating,33.8054553229135,-117.92009346375,,
ramones-house-of-body-art,Ramone's House of Body Art,californiaadventure,Cars Land,Boutique,operating,33.805378777444,-117.918699133038,,
sarges-surplus-hut,Sarge's Surplus Hut,californiaadventure,Cars Land,Gift Shop,operating,33.8059647414095,-117.919290766797,,
radiator-springs-curios,Radiator Springs Curios,californiaadventure,Cars Land,Gift Shop,operating,33.8057439436728,-117.918613963837,,
knicks-knacks,Knick's Knacks,californiaadventure,Pixar Pier,Gift Shop,operating,33.8052503222213,-117.920603011059,,
bing-bongs-sweet-stuff,Bing Bong's Sweet Stuff,californiaadventure,Pixar Pier,Boutique,operating,33.8050640286978,-117.92251924221,,
midway-mercantile,Midway Mercantile,californiaadventure,Pixar Pier,Gift Shop,operating,33.8045453304296,-117.921531837243,,
seaside-souvenirs,Seaside Souvenirs,californiaadventure,Performance Corridor,Cart/Kiosk,operating,33.8063079841165,-117.922168377581,,
embarcadero-gifts,Embarcadero Gifts,californiaadventure,Performance Corridor,Boutique,operating,33.8062990685672,-117.920784357792,,
sunglass-hut-dca,Sunglass Hut - DCA,californiaadventure,Performance Corridor,Cart/Kiosk,operating,33.806298938118,-117.922548114979,,
rushin-river-outfitters,Rushin' River Outfitters,californiaadventure,Grizzly Peak,Gift Shop,operating,33.8073450520221,-117.920987367452,,
humphreys-service-supplies,Humphrey's Service & Supplies,californiaadventure,Grizzly Peak,Gift Shop,operating,33.8079155920761,-117.920149177232,,
world-of-disney,World of Disney,downtown,Downtown Disney District,Gift Shop,operating,33.8086051770198,-117.921020252642,,
d-lander-shop,The D-Lander Shop,downtown,Downtown Disney District,Boutique,operating,33.8084434327772,-117.924776916668,,
disney-storyland-boutique,Disney Storyland Boutique,downtown,Downtown Disney District,Boutique,operating,33.8090615659755,-117.923267151213,,
avengers-reserve,Avengers Reserve,downtown,Downtown Disney District,Gift Shop,operating,33.8085659633877,-117.924789027198,,
star-wars-trading-post,Star Wars Trading Post,downtown,Downtown Disney District,Gift Shop,operating,33.8092299773987,-117.924833815498,,
wonderful-world-of-sweets,Disney Wonderful World of Sweets,downtown,Downtown Disney District,Gift Shop,operating,33.8088189274746,-117.922711761401,,
disney-home,Disney Home,downtown,Downtown Disney District,Gift Shop,operating,33.8090037044205,-117.923195159831,,
wonderground-gallery,WonderGround Gallery,downtown,Downtown Disney District,Boutique,operating,33.8089355875041,-117.922361226311,,
pin-traders,Disney's Pin Traders,downtown,Downtown Disney District,Cart/Kiosk,operating,33.809225279162,-117.924504953091,,
lego-store,The LEGO Store,downtown,Downtown Disney District,Gift Shop,operating,33.8088392842759,-117.924395647168,,
pandora-jewelry,PANDORA Jewelry,downtown,Downtown Disney District,Boutique,operating,33.8086145755322,-117.922124709909,,
sephora,Sephora,downtown,Downtown Disney District,Boutique,operating,33.8086584216581,-117.922394206882,,
curl-surf,Curl Surf,downtown,Downtown Disney District,Boutique,operating,33.8086192730223,-117.922060633602,,
lululemon,lululemon,downtown,Downtown Disney District,Boutique,operating,33.8091351974192,-117.925357565306,,
lovepop,Lovepop,downtown,Downtown Disney District,Boutique,operating,33.8089535955,-117.923152756458,,
pele-soccer,Pele Soccer,downtown,Downtown Disney District,Boutique,operating,33.8089277579565,-117.923086795578,,
nectar-life,Nectar Life,downtown,Downtown Disney District,Boutique,operating,33.8083227056896,-117.924761231462,,
kamans-art-shoppes,"Kaman’s Art Shoppes, Inc. Caricatures",downtown,Downtown Disney District,Cart/Kiosk,operating,33.8087681849627,-117.920961709636,,
kawaii-slime-cart,Kawaii Slime Cart,downtown,Downtown Disney District,Cart/Kiosk,operating,33.8087968971979,-117.920763862144,,
sunglass-hut,Sunglass Hut,downtown,Downtown Disney District,Cart/Kiosk,operating,33.8086208396316,-117.921981480447,,
acorns-gifts-goods,Acorns Gifts & Goods,grandcalifornian,Disney's Grand Californian Hotel,Gift Shop,operating,33.8079525237777,-117.922302465382,,
fantasia-shop,Disney's Fantasia Shop,disneyland_hotel,Disneyland Hotel,Gift Shop,operating,33.80907772011,-117.927129453521,,
small-world-gifts,Small World Gifts & Sundries,disneyland_hotel,Disneyland Hotel,Gift Shop,operating,33.8091919990753,-117.926741220742,,
stor-e,STOR-E,pixar_place_hotel,Pixar Place Hotel,Gift Shop,operating,33.806238578371,-117.92434916828,,
trader-sams-mug,Trader Sam’s Mug Release,disneyland_hotel,Disneyland Hotel,Gift Shop,operating,33.8091949936566,-117.927181842093,,
